"","collectors","ID_individual","ID_web","ID_aggregate","time","local","experiment","spp","type","sex","age","web_heigth","n_argy","n_males","mass_g","total_length_mm","cephalot_width_mm","food_string","fs_mass","aggregate","n_fem_aggregate","if_feeding"
"1","Carol Hannah Raul","RHC 01 F1","RHC 01",NA,"10:14","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,4,0,0.0597,13.78,3.46,"present",0.0146,"no",1,"no"
"2","Carol Hannah Raul","RHC 01 A5","RHC 01",NA,"10:14","regiao lagoa","A","Argyrodes elevatus","tennant","male","MA",1,4,0,0.0013,2.86,NA,"absent",NA,"no",1,"no"
"3","Carol Hannah Raul","RHC 01 A2","RHC 01",NA,"10:14","regiao lagoa","A","Faiditus caudatus","tennant",NA,NA,1,4,0,0.0012,3.69,NA,"absent",NA,"no",1,"no"
"4","Carol Hannah Raul","RHC 01 A3","RHC 01",NA,"10:14","regiao lagoa","A","Faiditus caudatus","tennant",NA,NA,1,4,0,0.0011,3.05,NA,"absent",NA,"no",1,"yes"
"5","Carol Hannah Raul","RHC 01 A4","RHC 01",NA,"10:14","regiao lagoa","A","Uloboridae","tennant",NA,NA,1,4,0,6e-04,NA,NA,"absent",NA,"no",1,NA
"6","Carol Hannah Raul","RHC 02 T1 F1","RHC 02 T1","RHC 02","10:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.087,9.75,2.45,"present",5e-04,"yes",2,"no"
"7","Carol Hannah Raul","RHC 02 T2 F2","RHC 02 T2","RHC 02","10:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.045,12.53,3.42,"absent",NA,"yes",2,"no"
"8","Carol Hannah Raul","RHC 03 F1","RHC 03 T1","RHC 03","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","J",0.8,1,0,0.161,14.55,2.09,"absent",NA,"yes",2,"no"
"9","Carol Hannah Raul","RHC 03 F2","RHC 03 T2","RHC 03","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","SA",0.8,1,0,0.0838,10.43,2.1,"present",0.0072,"yes",2,NA
"10","Carol Hannah Raul","RHC 03 A1","RHC 03","RHC 03","10:50","regiao lagoa","A","Faiditus caudatus","female","female","A",0.8,1,0,NA,3.34,NA,"absent",NA,NA,NA,"no"
"11","Carol Hannah Raul","RHC 04 F1","RHC 04",NA,"11:07","regiao lagoa","A","Trichonephila clavipes","female","female","J",0.9,2,0,0.308,17.67,4.17,"present",0.002,"no",1,"no"
"12","Carol Hannah Raul","RHC 04 A1","RHC 04",NA,"11:07","regiao lagoa","A","Faiditus caudatus","tennant",NA,NA,0.9,2,0,0.0011,2.95,NA,"absent",NA,NA,NA,"yes"
"13","Carol Hannah Raul","RHC 04 A3","RHC 04",NA,"11:07","regiao lagoa","A","Argyrodes elevatus","tennant","male","MJ",0.9,2,0,0.0014,3.71,NA,"absent",NA,NA,NA,"no"
"14","Carol Hannah Raul","RHC 05 F1","RHC 05",NA,"11:37","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,3,0,0.3302,17.2,3.5,"present",0.0029,"no",1,"no"
"15","Carol Hannah Raul","RHC 05 A1","RHC 05",NA,"11:37","regiao lagoa","A","Argyrodes elevatus","tennant","female","A",1,3,0,0.0092,4.75,NA,"absent",NA,NA,NA,"no"
"16","Carol Hannah Raul","RHC 05 A2","RHC 05",NA,"11:37","regiao lagoa","A","Faiditus caudatus","tennant","female","A",1,3,0,0.004,4.02,NA,"absent",NA,NA,NA,"no"
"17","Carol Hannah Raul","RHC 05 A3","RHC 05",NA,"11:37","regiao lagoa","A","Argyrodes elevatus","tennant","male","MA",1,3,0,0.0029,2.99,NA,"absent",NA,NA,NA,"no"
"18","Carol Hannah Raul","RHC 06 T1 F","RHC 06 T1","RHC 06","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.4,2,1,0.1075,12.52,3.51,"absent",NA,"yes",NA,"no"
"19","Carol Hannah Raul","RHC 06 T1 M","RHC 06 T1","RHC 06","10:50","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.4,2,1,0.0069,4.62,1.29,"absent",NA,NA,NA,"no"
"20","Carol Hannah Raul","RHC 06 T1 A1","RHC 06 T1","RHC 06","10:50","regiao lagoa","A","Metepeira sp.","tennant",NA,NA,1.4,2,1,0.0012,2,NA,"absent",NA,NA,NA,"no"
"21","Carol Hannah Raul","RHC 06 T2 F2","RHC 06 T2","RHC 06 ","10:50","regiao lagoa","A","Trichonephila clavipes","female","female","SA",1.4,2,1,0.1081,12.92,3.18,"absent",NA,"yes",NA,"no"
"22","Carol Hannah Raul","RHC 07 T1 F1","RHC 07 T1","RHC 07","11:10","regiao lagoa","A","Trichonephila clavipes","female","female","J",0.7,0,0,0.1768,13.53,3.14,"absent",NA,"yes",4,"no"
"23","Carol Hannah Raul","RHC 07 T2 F","RHC 07 T2","RHC 07","11:15","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.25,1,0,0.1928,15.61,4.15,"absent",NA,"yes",4,"no"
"24","Carol Hannah Raul","RHC 07 T2 A1","RHC 07 T2","RHC 07","11:15","regiao lagoa","A","Argyrodes elevatus","female","female","A",1.25,1,0,0.0036,3.98,NA,"absent",NA,NA,NA,"no"
"25","Carol Hannah Raul","RHC 07 T3 F","RHC 07 T3","RHC 07","11:25","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.25,0,0,0.0875,13.08,3.54,"absent",NA,"yes",4,"no"
"26","Carol Hannah Raul","RHC 07 T4 F","RHC 07 T4","RHC 07","11:35","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,2,0,0.1896,15.59,3.14,"present",0.0011,"yes",4,"no"
"27","Carol Hannah Raul","RHC 07 T4 01","RHC 07 T4","RHC 07","11:35","regiao lagoa","A","Argyrodes elevatus","tennant","male","MA",1,2,0,0.0026,3.17,NA,"absent",NA,NA,NA,"yes"
"28","Carol Hannah Raul","RHC 07 T4 02","RHC 07 T4","RHC 07","11:35","regiao lagoa","A","Argyrodes elevatus","female","female","A",1,2,0,0.0087,5.26,NA,"absent",NA,NA,NA,"no"
"29","Gabriel Izabel Fernanda","GIF 01 F1","GIF 01",NA,"10:24","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.25,2,3,0.0982,12.46,2.88,"present",0.0084,"no",1,"no"
"30","Gabriel Izabel Fernanda","GIF 01 A1","GIF 01",NA,"10:24","regiao lagoa","A","Argyrodes elevatus","tennant","male","MA",1.25,2,3,0.0017,3.47,NA,"present",NA,"no",1,"no"
"31","Gabriel Izabel Fernanda","GIF 1 A2","GIF 01",NA,"10:24","regiao lagoa","A","Argyrodes elevatus","female","female","A",1.25,2,3,0.002,3.04,NA,"present",NA,"no",1,"no"
"32","Gabriel Izabel Fernanda","GIF 01 M1","GIF 01",NA,"10:24","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.25,2,3,0.0182,6.42,1.83,"present",NA,"no",1,"no"
"33","Gabriel Izabel Fernanda","GIF 01 M2","GIF 01",NA,"10:24","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.25,2,3,0.0192,6.39,1.73,"present",NA,"no",1,"no"
"34","Gabriel Izabel Fernanda","GIF 01 M3","GIF 01",NA,"10:24","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.25,2,3,0.0068,4.91,1.53,"present",NA,"no",1,"no"
"35","Gabriel Izabel Fernanda","GIF 02 M1","GIF 02",NA,"10:34","regiao lagoa","A","Trichonephila clavipes","tennant","male","MJ",1.35,0,1,0.0167,6.33,1.39,"absent",NA,"no",1,NA
"36","Gabriel Izabel Fernanda","GIF 03 F1","GIF 03",NA,"10:45","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.12,1,1,0.2529,17.67,4.17,"present",NA,"no",1,NA
"37","Gabriel Izabel Fernanda","GIF 03 M1","GIF 03",NA,"10:45","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.12,1,1,0.0245,7.2,2.01,"present",NA,"no",1,NA
"38","Gabriel Izabel Fernanda","GIF 03 A2","GIF 03",NA,"10:45","regiao lagoa","A","Argyrodes elevatus","tennant","male","MJ",1.12,1,1,0.0013,2.7,NA,"present",NA,"no",1,NA
"39","Gabriel Izabel Fernanda","GIF 04 F1","GIF 04",NA,"11:06","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.25,2,1,0.1582,14.55,4.17,"present",NA,"no",1,NA
"40","Gabriel Izabel Fernanda","GIF 04 A1","GIF 04",NA,"11:06","regiao lagoa","A","Argyrodes elevatus","female","female","A",1.25,2,1,0.0083,4.47,NA,"present",NA,"no",1,NA
"41","Gabriel Izabel Fernanda","GIF 04 A2","GIF 04",NA,"11:06","regiao lagoa","A","Argyrodes elevatus","tennant","male","MA",1.25,2,1,0.0031,3.99,NA,"present",NA,"no",1,NA
"42","Gabriel Izabel Fernanda","GIF 04 M1","GIF 04",NA,"11:06","regiao lagoa","A","Trichonephila clavipes","tennant","male","MJ",1.25,2,1,0.0277,7.47,1.71,"present",NA,"no",1,NA
"43","Gabriel Izabel Fernanda","GIF 05 F2","GIF 05",NA,"11:24","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.6,0,0,0.0745,11.44,2.1,"present",NA,"no",1,NA
"44","Gabriel Izabel Fernanda","PA GIF 01 M1","PA GIF 01",NA,"manha","portao amarelo","A","Mecynogea leminiscata","tennant",NA,NA,0.6,0,0,0.0144,5.77,1.25,"absent",NA,"no",1,NA
"45","Gabriel Izabel Fernanda","PA GIF 02 F1","PA GIF 02",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",1.05,2,0,0.0421,10.11,4.4,"present",0.0041,"no",1,NA
"46","Gabriel Izabel Fernanda","PA GIF 02 A1","PA GIF 02",NA,"manha","portao amarelo","A","Argyrodes elevatus","tennant","male","MJ",1.05,2,0,7e-04,2.49,NA,"present",NA,"no",1,NA
"47","Gabriel Izabel Fernanda","PA GIF 02 A2","PA GIF 02",NA,"manha","portao amarelo","A","Argyrodes elevatus","female","female","J",1.05,2,0,0.0011,2.16,NA,"present",NA,"no",1,NA
"48","Gabriel Izabel Fernanda","PA GIF 03 F1","PA GIF 03",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",1.2,0,1,0.0685,17.67,4.17,"present",NA,"yes",4,NA
"49","Gabriel Izabel Fernanda"," PA GIF 03 M1","PA GIF 03",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male",NA,1.2,0,1,NA,NA,NA,"present",NA,"yes",NA,NA
"50","Gabriel Izabel Fernanda","PA GIF 04 F1","PA GIF 04",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MJ",1.15,0,0,0.0136,6.22,1.03,"present",NA,"no",1,NA
"51","Gabriel Izabel Fernanda","PA GIF 05 F1","PA GIF 05",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",1.65,0,2,0.1353,13.21,2.66,"present",NA,"no",1,NA
"52","Gabriel Izabel Fernanda","PA GIF 05 M1","PA GIF 05",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MA",1.65,0,2,0.0322,7.73,2.21,"present",NA,"no",1,NA
"53","Gabriel Izabel Fernanda","PA GIF 05 M2","PA GIF 05",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","female","J",1.65,0,2,0.0154,6.8,1.54,"present",NA,"no",1,NA
"54","Gabriel Izabel Fernanda","PA GIF 06 F1","PA GIF 06",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MJ",1.2,0,0,0.0058,5.25,1.01,"present",NA,"no",1,NA
"55","Gabriel Izabel Fernanda","PA GIF 06 M1","PA GIF 06",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MJ",1.2,0,0,0.0036,3.13,1.03,"present",NA,"no",1,NA
"56","Gabriel Izabel Fernanda","PA GIF 07 F1 ","PA GIF 07",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",0.8,0,0,0.1604,15.58,2.1,"absent",NA,"no",1,NA
"57","Gabriel Izabel Fernanda","PA GIF 08 F1","PA GIF 08",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MJ",0.8,0,0,0.001,6.53,1.34,"absent",NA,"no",1,NA
"58","Gabriel Izabel Fernanda","PA GIF 09 F1","PA GIF 09",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",0.8,0,0,0.0947,12.47,2.09,"absent",NA,"no",1,NA
"59","Gabriel Izabel Fernanda","PA GIF 10 F1","PA GIF 10",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",0.8,0,0,0.104,12.48,2.3,"present",0.008,"yes",4,NA
"60","Gabriel Izabel Fernanda","PA GIF 11 F1","PA GIF 11",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",0.4,0,0,0.0382,9.36,2.09,"present",0.0098,"no",1,NA
"61","Gabriel Izabel Fernanda","PA GIF 12 F1","PA GIF 12",NA,"manha","portao amarelo","A","Trichonephila clavipes","female","female","J",1.5,0,1,0.2154,15.61,3.14,"present",0.0072,"no",1,NA
"62","Gabriel Izabel Fernanda","PA GIF 12 M1","PA GIF 13",NA,"manha","portao amarelo","A","Trichonephila clavipes","tennant","male","MA",1.5,0,1,0.0255,7.24,1.91,"present",NA,"no",1,NA
"63","Gabriel Izabel Fernanda","C GIF 01 F1","C GIF 01",NA,"manha","cachoeirinha","A","Trichonephila clavipes","female","female","A",NA,NA,NA,0.5448,16,3.7,NA,NA,"no",1,NA
"64","Gabriel Izabel Fernanda","C GIF 01 M2","C GIF 01",NA,"manha","cachoeirinha","A","Trichonephila clavipes","tennant","male",NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA,NA
"65","Felipe Beatrice Luiza","FBL1 T1 F1","FBL1 T1","FBL1","10:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.5,0,0,0.026,16.64,3.13,"absent",NA,"yes",3,NA
"66","Felipe Beatrice Luiza","FBL 01 T2 A1","FBL1 T2","FBL1","10:30","regiao lagoa","A","Argyrodes elevatus","female","female","J",1.35,1,1,0.002,2.98,NA,"absent",NA,"yes",3,NA
"67","Felipe Beatrice Luiza","FBL1 T2 M1","FBL1 T2","FBL1","10:30","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.5,1,1,0.0311,NA,NA,"absent",NA,"yes",3,NA
"68","Felipe Beatrice Luiza","FBL1 F2","FBL1 T2","FBL1","10:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,0,0.4044,15.58,3.13,"present",0.0077,"yes",3,NA
"69","Felipe Beatrice Luiza","FBL1 T3 M3","FBL1 T3","FBL1","10:30","regiao lagoa","A","Trichonephila clavipes","tennant","male","MJ",1.45,0,0,0.0086,4.84,1.39,"absent",NA,"yes",3,NA
"70","Felipe Beatrice Luiza","FBL2 F1","FBL2 T1","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,2,2,0.2545,16.63,4.16,"present",0.0162,"yes",4,NA
"71","Felipe Beatrice Luiza","FBL 02 T1 A1","FBL2 T1","FBL2","11:03","regiao lagoa","A","Argyrodes pluto","female","female","A",1.3,2,0,0.0096,5.4,NA,"absent",NA,"yes",4,NA
"72","Felipe Beatrice Luiza","FBL 02 T1 A2","FBL2 T1","FBL2","11:03","regiao lagoa","A","Argyrodes elevatus","female","female","A",1.3,2,0,0.0095,4.47,NA,"absent",NA,"yes",4,NA
"73","Felipe Beatrice Luiza","FBL2 F2","FBL2 T2","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,0,0.0552,9.38,2.09,"absent",NA,"yes",4,NA
"74","Felipe Beatrice Luiza","FBL2 F3","FBL2 T4","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","female","female","A",2,0,1,0.5164,21.825,6.23,"absent",NA,"yes",4,NA
"75","Felipe Beatrice Luiza","FBL2F4
","FBL2 T4","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","female","female","J",2,0,1,0.0839,12.74,2.45,"absent",NA,"yes",4,NA
"76","Felipe Beatrice Luiza","FBL 02 M1","FBL2 T4","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",2,0,1,0.0151,6.22,1.57,"absent",NA,"yes",4,NA
"77","Felipe Beatrice Luiza","FBL 2 T5 M2","FBL2 T5","FBL2","11:03","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",2,0,1,0.0212,6.74,1.95,"absent",NA,"yes",4,NA
"78","Felipe Beatrice Luiza","FBL T3 F1","FBL3 T3","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",2,0,1,0.0473,9.36,2.9,"absent",NA,"yes",4,NA
"79","Felipe Beatrice Luiza","FBL3 T2 A1","FBL3 T2","FBL3","11:30","regiao lagoa","A","Argyrodes elevatus","female","female","A",2,1,0,0.0049,3.53,NA,"absent",NA,"yes",4,NA
"80","Felipe Beatrice Luiza","FBL3 F2","FBL3 T3","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",2,0,1,0.2213,17.69,4.17,"absent",NA,"yes",4,NA
"81","Felipe Beatrice Luiza","FBL 3 M1 T3
","FBL3 T3","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",2,0,1,0.0187,6.03,1.61,"absent",NA,"yes",4,NA
"82","Felipe Beatrice Luiza","FBL3 F3","FBL3 T4","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","female","female","J",2,1,0,0.2419,16.64,4.15,"absent",NA,"yes",NA,NA
"83","Felipe Beatrice Luiza","FBL3F4","FBL3 T4","FBL3","11:30","regiao lagoa","A","Trichonephila clavipes","female","female","SA",2,1,0,0.3803,18.71,3.13,"absent",NA,"yes",NA,NA
"84","Felipe Beatrice Luiza","FBL3 T4 A1","FBL3 T4","FBL3","11:30","regiao lagoa","A","Faiditus caudatus","female","female","A",2,1,0,0.0024,4.26,NA,"absent",NA,"yes",NA,NA
"85","Beatrice Luiza","BL2 A1 T1","BL2 T1","BL2","11:20","regiao lagoa","A","Faiditus caudatus","tennant","male","MA",2,1,NA,NA,2.44,NA,"present",NA,"no",NA,NA
"86","Beatrice Luiza","BL5 A1 T2","BL5 T2","BL5","11:40","regiao lagoa","A","Argyrodes elevatus","tennant","male","MA",1.3,1,0,0.0015,3.3,NA,"present",NA,"yes",NA,NA
"87","Beatrice Luiza","BL1 T1 F1","BL1 T1","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,1,3,0.1711,14.57,3.13,"absent",NA,"yes",7,NA
"88","Beatrice Luiza","BL1 M2 T4","BL1 T4","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.3,0,1,0.0313,7.14,2.18,"present",0.002,"yes",7,NA
"89","Beatrice Luiza","BL1 F2 T2","BL1 T2","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.1441,15.72,2.85,"absent",NA,"yes",7,NA
"90","Beatrice Luiza","BL1 M3 T5","BL1 T5","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1,0,1,0.0079,3.93,1.32,"absent",NA,"yes",7,NA
"91","Beatrice Luiza","BL4 M1 C1","BL4","BL4","11:32","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1,0,1,0.016,7.03,1.35,"present",NA,"yes",1,NA
"92","Beatrice Luiza","BL1 F3 T3","BL1 T3","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,0,0.0254,7.28,1.06,"absent",NA,"yes",7,NA
"93","Beatrice Luiza","BL1 F4 T4","BL1 T4","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,1,0.2131,16.62,3.13,"absent",NA,"yes",7,NA
"94","Beatrice Luiza","BL 5 M1 T1","BL5 T1","BL5","11:40","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1.3,0,1,0.0071,4.86,1.28,"present",NA,"yes",2,NA
"95","Beatrice Luiza","BL1 F5 T6","BL1 T6","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.0804,15.58,2.1,"absent",NA,"yes",NA,NA
"96","Beatrice Luiza","BL1 F6 T6","BL1 T6","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.1772,16.02,3.08,"absent",NA,"yes",NA,NA
"97","Beatrice Luiza","BL1 F7 T7","BL1 T7","BL1","11:00","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,0,0.0865,12.88,3.1,"absent",NA,"yes",NA,NA
"98","Beatrice Luiza","BL2 T1 F1 C1","BL2 T1","BL2","11:20","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.8,1,0,0.1098,12.75,3.01,"present",0.0177,"no",NA,NA
"99","Beatrice Luiza","BL4 T1 F1","BL4 T1","BL4","11:32","regiao lagoa","A","Trichonephila clavipes","female","female","J",1,0,1,0.1652,15.05,2.85,"present",NA,"no",NA,NA
"100","Beatrice Luiza","BL4 M1C1","BL4 T1","BL4","11:32","regiao lagoa","A","Trichonephila clavipes","tennant","male","MA",1,0,1,0.016,7.03,1.35,"present",NA,"no",NA,NA
"101","Beatrice Luiza","BL5 T1 F1","BL5 T1","BL5","11:40","regiao lagoa","A","Trichonephila clavipes","female","female","J",1.3,0,1,0.1712,13.51,4.17,"present",NA,"yes",2,NA
