Observadores;ID_individuo;ID_da_teia;ID_agregado;Data;Hora;Local;Experimento;spp;tipo;Sexo;Idade;Tamanho_teia;Altura_teia_m;N_Argyrodes;N_machos;massa_g;comprimento_total_mm;largura_cefalot_mm;colar;massa_colar_g;agregado;N_femeas_total_agregado;se_alimentando;se_alimentando;observacoes
Carol, Hannah, Raul;RHC 01 F1;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;4;0;0.0597;13.78;3.46;com;0.0146;nao;1;nao;nao;Perdemos uma aranha na coleta
Carol, Hannah, Raul;RHC 01 A5;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Argyrodes elevatus;inquilino;Macho;MA;;1;4;0;0.0013;2.86;;sem;N/A;nao;1;;nao;coletamos apenas uma femea do agregado
Carol, Hannah, Raul;RHC 01 A2;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Faiditus caudatus;inquilino;;;;1;4;0;0.0012;3.69;;sem;N/A;nao;1;;nao;
Carol, Hannah, Raul;RHC 01 A3;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Faiditus caudatus;inquilino;;;;1;4;0;0.0011;3.05;;sem;N/A;nao;1;;sim;coletamos apenas uma femea do agregado
Carol, Hannah, Raul;RHC 01 A4;RHC 01;NA;04/02/2020;10:14;Regiao Lagoa;A;Uloboridae;inquilino;;;;1;4;0;0.0006;;;sem;N/A;nao;1;;;
Carol, Hannah, Raul;RHC 02 T1 F1;RHC 02 T1;RHC 02;04/02/2020;10:37;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;0;0.087;9.75;2.45;com;0.0005;sim;2;nao;nao;
Carol, Hannah, Raul;RHC 02 T2 F2;RHC 02 T2;RHC 02;04/02/2020;10:37;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;0;0.045;12.53;3.42;sem;N/A;sim;2;nao;nao;
Carol, Hannah, Raul;RHC 03 F1;RHC 03 T1;RHC 03;04/02/2020;10:50;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;0.8;1;0;0.161;14.55;2.09;sem;N/A;sim;2;sim;nao;Perdemos 1 Argyrodes na coleta
Carol, Hannah, Raul;RHC 03 F2;RHC 03 T2;RHC 03;04/02/2020;10:50;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;SA;;0.8;1;0;0.0838;10.43;2.1;com;0.0072;sim;2;;;
Carol, Hannah, Raul;RHC 03 A1;RHC 03;RHC 03;04/02/2020;10:50;Regiao Lagoa;A;Faiditus caudatus;femea;Femea;A;;0.8;1;0;;3.34;;sem;N/A;;;;nao;
Carol, Hannah, Raul;RHC 04 F1;RHC 04;NA;04/02/2020;11:07;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;0.9;2;0;0.308;17.67;4.17;com;0.002;nao;1;nao;nao;
Carol, Hannah, Raul;RHC 04 A1;RHC 04;NA;04/02/2020;11:07;Regiao Lagoa;A;Faiditus caudatus;inquilino;;;;0.9;2;0;0.0011;2.95;;sem;N/A;;;;sim;
Carol, Hannah, Raul;RHC 04 A3;RHC 04;NA;04/02/2020;11:07;Regiao Lagoa;A;Argyrodes elevatus;inquilino;Macho ;MJ;;0.9;2;0;0.0014;3.71;;sem;N/A;;;;nao;
Carol, Hannah, Raul;RHC 05 F1;RHC 05;NA;04/02/2020;11:37;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;3;0;0.3302;17.2;3.5;com;0.0029;nao;1;nao;nao;
Carol, Hannah, Raul;RHC 05 A1;RHC 05;NA;04/02/2020;11:37;Regiao Lagoa;A;Argyrodes elevatus;inquilino;Femea;A;;1;3;0;0.0092;4.75;;sem;N/A;;;;nao;
Carol, Hannah, Raul;RHC 05 A2;RHC 05;NA;04/02/2020;11:37;Regiao Lagoa;A;Faiditus caudatus;inquilino;Femea;A;;1;3;0;0.004;4.02;;sem;N/A;;;;nao;
Carol, Hannah, Raul;RHC 05 A3;RHC 05;NA;04/02/2020;11:37;Regiao Lagoa;A;Argyrodes elevatus;inquilino;Macho;MA;;1;3;0;0.0029;2.99;;sem;N/A;;;;nao;
Carol, Hannah, Raul;RHC 06 T1 F;RHC 06 T1;RHC 06;05/02/2020;10:50;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.4;2;1;0.1075;12.52;3.51;sem;N/A;sim;;nao;nao;
Carol, Hannah, Raul;RHC 06 T1 M;RHC 06 T1;RHC 06;05/02/2020;10:50;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1.4;2;1;0.0069;4.62;1.29;sem;N/A;;;;nao;o macho estava em teia adjacente
Carol, Hannah, Raul;RHC 06 T1 A1;RHC 06 T1;RHC 06;05/02/2020;10:50;Regiao Lagoa;A;Metepeira sp.;inquilino;;;;1.4;2;1;0.0012;2;;sem;N/A;;;;nao;
Carol, Hannah, Raul;RHC 06 T2 F2;RHC 06 T2;RHC 06 ;05/02/2020;10:50;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;SA;;1.4;2;1;0.1081;12.92;3.18;sem;N/A;sim;;;nao;
Carol, Hannah, Raul;RHC 07 T1 F1;RHC 07 T1;RHC 07;05/02/2020;11:10;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;0.7;0;0;0.1768;13.53;3.14;sem;N/A;sim;4;nao;nao;nao foi coletado o colar
Carol, Hannah, Raul;RHC 07 T2 F;RHC 07 T2;RHC 07;05/02/2020;11:15;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.25;1;0;0.1928;15.61;4.15;sem;N/A;sim;4;nao;nao;
Carol, Hannah, Raul;RHC 07 T2 A1;RHC 07 T2;RHC 07;05/02/2020;11:15;Regiao Lagoa;A;Argyrodes elevatus;femea;Femea;A;;1.25;1;0;0.0036;3.98;;sem;N/A;;;;nao;
Carol, Hannah, Raul;RHC 07 T3 F;RHC 07 T3;RHC 07;05/02/2020;11:25;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.25;0;0;0.0875;13.08;3.54;sem;N/A;sim;4;sim;nao;
Carol, Hannah, Raul;RHC 07 T4 F;RHC 07 T4;RHC 07;05/02/2020;11:35;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;2;0;0.1896;15.59;3.14;com;0.0011;sim;4;nao;nao;agregado de várias femeas, coletamos a femea maior
Carol, Hannah, Raul;RHC 07 T4 01;RHC 07 T4;RHC 07;05/02/2020;11:35;Regiao Lagoa;A;        Argyrodes elevatus;inquilino;Macho;MA;;1;2;0;0.0026;3.17;;sem;N/A;;;;sim;femea estava se alimenteando de moscas, não tinha inquilinos mas ela estava no meio de várias outras teias
Carol, Hannah, Raul;RHC 07 T4 02;RHC 07 T4;RHC 07;05/02/2020;11:35;Regiao Lagoa;A;        Argyrodes elevatus;femea;Femea;A;;1;2;0;0.0087;5.26;;sem;N/A;;;;nao;
Gabriel, Izabel, Fernanda;GIF 01 F1;GIF 01;NA;04/02/2020;10:24;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.25;2;3;0.0982;12.46;2.88;com;0.0084;nao;1;nao;nao;
Gabriel, Izabel, Fernanda;GIF 01 A1;GIF 01;NA;04/02/2020;10:24;Regiao Lagoa;A;        Argyrodes elevatus;inquilino;Macho;MA;;1.25;2;3;0.0017;3.47;;com;N/A;nao;1;nao;nao;
Gabriel, Izabel, Fernanda;GIF 1 A2;GIF 01;NA;04/02/2020;10:24;Regiao Lagoa;A;        Argyrodes elevatus;femea;Femea;A;;1.25;2;3;0.002;3.04;;com;N/A;nao;1;nao;nao;
Gabriel, Izabel, Fernanda;GIF 01 M1;GIF 01;NA;04/02/2020;10:24;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1.25;2;3;0.0182;6.42;1.83;com;N/A;nao;1;nao;nao;
Gabriel, Izabel, Fernanda;GIF 01 M2;GIF 01;NA;04/02/2020;10:24;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1.25;2;3;0.0192;6.39;1.73;com;N/A;nao;1;nao;nao;A fêmea 2 tirou a identificação da teia.
Gabriel, Izabel, Fernanda;GIF 01 M3;GIF 01;NA;04/02/2020;10:24;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1.25;2;3;0.0068;4.91;1.53;com;N/A;nao;1;nao;nao;
Gabriel, Izabel, Fernanda;GIF 02 M1;GIF 02;NA;04/02/2020;10:34;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MJ;;1.35;0;1;0.0167;6.33;1.39;sem;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;GIF 03 F1;GIF 03;NA;04/02/2020;10:45;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.12;1;1;0.2529;17.67;4.17;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;GIF 03 M1;GIF 03;NA;04/02/2020;10:45;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1.12;1;1;0.0245;7.2;2.01;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;GIF 03 A2;GIF 03;NA;04/02/2020;10:45;Regiao Lagoa;A;        Argyrodes elevatus;inquilino;Macho;MJ;;1.12;1;1;0.0013;2.7;;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;GIF 04 F1;GIF 04;NA;04/02/2020;11:06;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.25;2;1;0.1582;14.55;4.17;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;GIF 04 A1;GIF 04;NA;04/02/2020;11:06;Regiao Lagoa;A;        Argyrodes elevatus;femea;Femea;A;;1.25;2;1;0.0083;4.47;;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;GIF 04 A2;GIF 04;NA;04/02/2020;11:06;Regiao Lagoa;A;        Argyrodes elevatus;inquilino;Macho;MA;;1.25;2;1;0.0031;3.99;;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;GIF 04 M1;GIF 04;NA;04/02/2020;11:06;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MJ;;1.25;2;1;0.0277;7.47;1.71;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;GIF 05 F2;GIF 05;NA;04/02/2020;11:24;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.6;0;0;0.0745;11.44;2.1;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 01 M1;PA GIF 01;NA;05/02/2020;manha;Portão Amarelo;A;Mecynogea leminiscata;inquilino;;;;0.6;0;0;0.0144;5.77;1.25;sem;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 02 F1;PA GIF 02;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;femea;Femea;J;;1.05;2;0;0.0421;10.11;4.4;com;0.0041;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 02 A1;PA GIF 02;NA;05/02/2020;manha;Portão Amarelo;A;       Argyrodes elevatus;inquilino;Macho;MJ;;1.05;2;0;0.0007;2.49;;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 02 A2;PA GIF 02;NA;05/02/2020;manha;Portão Amarelo;A;       Argyrodes elevatus;femea;Femea;J;;1.05;2;0;0.0011;2.16;;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 03 F1;PA GIF 03;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;femea;Femea;J;;1.2;0;1;0.0685;17.67;4.17;com;N/A;sim;4;nao;;
Gabriel, Izabel, Fernanda; PA GIF 03 M1;PA GIF 03;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;inquilino;Macho;;;1.2;0;1;;;;com;N/A;sim;;nao;;
Gabriel, Izabel, Fernanda;PA GIF 04 F1;PA GIF 04;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;inquilino;Macho;MJ;;1.15;0;0;0.0136;6.22;1.03;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 05 F1;PA GIF 05;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;femea;Femea;J;;1.65;0;2;0.1353;13.21;2.66;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 05 M1;PA GIF 05;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;inquilino;Macho;MA;;1.65;0;2;0.0322;7.73;2.21;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 05 M2;PA GIF 05;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;inquilino;Femea;J;;1.65;0;2;0.0154;6.8;1.54;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 06 F1;PA GIF 06;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;inquilino;Macho;MJ;;1.2;0;0;0.0058;5.25;1.01;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 06 M1;PA GIF 06;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;inquilino;Macho;MJ;;1.2;0;0;0.0036;3.13;1.03;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 07 F1 ;PA GIF 07;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;femea;Femea;J;;0.8;0;0;0.1604;15.58;2.1;sem;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 08 F1;PA GIF 08;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;inquilino;Macho;MJ;;0.8;0;0;0.001;6.53;1.34;sem;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 09 F1;PA GIF 09;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;femea;Femea;J;;0.8;0;0;0.0947;12.47;2.09;sem;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 10 F1;PA GIF 10;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;femea;Femea;J;;0.8;0;0;0.104;12.48;2.3;com;0.008;sim;4;nao;;
Gabriel, Izabel, Fernanda;PA GIF 11 F1;PA GIF 11;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;femea;Femea;J;;0.4;0;0;0.0382;9.36;2.09;com;0.0098;nao;1;sim;;
Gabriel, Izabel, Fernanda;PA GIF 12 F1;PA GIF 12;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;femea;Femea;J;;1.5;0;1;0.2154;15.61;3.14;com;0.0072;nao;1;nao;;
Gabriel, Izabel, Fernanda;PA GIF 12 M1;PA GIF 13;NA;05/02/2020;manha;Portão Amarelo;A;Trichonephila clavipes;inquilino;Macho;MA;;1.5;0;1;0.0255;7.24;1.91;com;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;C GIF 01 F1;C GIF 01;NA;06/02/2020;manha;cachoeirinha;A;Trichonephila clavipes;femea;Femea;A;;;;;0.5448;16;3.7;;N/A;nao;1;nao;;
Gabriel, Izabel, Fernanda;C GIF 01 M2;C GIF 01;NA;06/02/2020;manha;cachoeirinha;A;Trichonephila clavipes;inquilino;macho;;;;;;;2.54;;;N/A;;;;;
Felipe, Beatrice, Luiza;FBL1 T1 F1;FBL1 T1;FBL1;04/02/2020;10:30;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.5;0;0;0.026;16.64;3.13;sem;N/A;sim;3;nao;;
Felipe, Beatrice, Luiza;FBL 01 T2 A1;FBL1 T2;FBL1;04/02/2020;10:30;"Regiao Lagoa
";A;        Argyrodes elevatus;femea;Femea;J;;1.35;1;1;0.002;2.98;;sem;N/A;sim;3;nao;;
Felipe, Beatrice, Luiza;FBL1 T2 M1;FBL1 T2;FBL1;04/02/2020;10:30;Região Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1.5;1;1;0.0311;;;sem;N/A;sim;3;"nao
";;
Felipe, Beatrice, Luiza;FBL1 F2;FBL1 T2;FBL1;04/02/2020;10:30;Regiao Lagoa;A;Trichonephila clavipes;femea;"Femea
";J;;1.3;0;0;0.4044;15.58;3.13;com;0.0077;sim;3;nao;;
Felipe, Beatrice, Luiza;FBL1 T3 M3;FBL1 T3;FBL1;04/02/2020;10:30;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MJ;;1.45;0;0;0.0086;4.84;1.39;sem;N/A;sim;3;nao;;
Felipe, Beatrice, Luiza;FBL2 F1;FBL2 T1;FBL2;04/02/2020;11:03;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.3;2;2;0.2545;16.63;4.16;com;0.0162;sim;4;sim;;
Felipe, Beatrice, Luiza;FBL 02 T1 A1;FBL2 T1;FBL2;04/02/2020;11:03;Regiao Lagoa;A;Argyrodes pluto;femea;Femea;A;;1.3;2;0;0.0096;5.4;;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;FBL 02 T1 A2;FBL2 T1;FBL2;04/02/2020;11:03;"Regiao Lagoa
";A;        Argyrodes elevatus;femea;Femea;A;;1.3;2;0;0.0095;4.47;;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;FBL2 F2;FBL2 T2;FBL2;04/02/2020;11:03;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.3;0;0;0.0552;9.38;2.09;sem;N/A;sim;4;sim;;
Felipe, Beatrice, Luiza;FBL2 F3;FBL2 T4;FBL2;04/02/2020;11:03;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;A;;2;0;1;0.5164;21.825;6.23;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;"FBL2F4
";FBL2 T4;FBL2;04/02/2020;11:03;"Regiao Lagoa
";A;Trichonephila clavipes;femea;"Femea
";J;;2;0;1;0.0839;12.74;2.45;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;FBL 02 M1;FBL2 T4;FBL2;04/02/2020;11:03;"Regiao Lagoa
";A;Trichonephila clavipes;inquilino;Macho;MA;;2;0;1;0.0151;6.22;1.57;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;FBL 2 T5 M2;FBL2 T5;FBL2;04/02/2020;11:03;"Regiao Lagoa
";A;Trichonephila clavipes;inquilino;Macho;MA;;2;0;1;0.0212;6.74;1.95;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;FBL T3 F1;FBL3 T3;FBL3;04/02/2020;11:30;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;2;0;1;0.0473;9.36;2.9;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;FBL3 T2 A1;FBL3 T2;FBL3;04/02/2020;11:30;Regiao Lagoa;A;Argyrodes elevatus;femea;Femea;A;;2;1;0;0.0049;3.53;;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;FBL3 F2;FBL3 T3;FBL3;04/02/2020;11:30;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;2;0;1;0.2213;17.69;4.17;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;"FBL 3 M1 T3
";FBL3 T3;FBL3;04/20/2020;11:30;Regiao Lagoa;A;Trichonephila clavipes;inquilino;"Macho
";MA;;2;0;1;0.0187;6.03;1.61;sem;N/A;sim;4;nao;;
Felipe, Beatrice, Luiza;FBL3 F3;FBL3 T4;FBL3;04/02/2020;11:30;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;2;1;0;0.2419;16.64;4.15;sem;N/A;sim;;nao;;
Felipe, Beatrice, Luiza;FBL3F4;FBL3 T4;FBL3;04/02/2020;11:30;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;SA;;2;1;0;0.3803;18.71;3.13;sem;N/A;sim;;nao;;
Felipe, Beatrice, Luiza;FBL3 T4 A1;FBL3 T4;FBL3;04/02/2020;11:30;Regiao Lagoa;A;Faiditus caudatus;femea;Femea;A;;2;1;0;0.0024;4.26;;sem;N/A;sim;;nao;;
Beatrice, Luiza;BL2 A1 T1;BL2 T1;BL2;05/02/2020;11:20;Regiao Lagoa;A;Faiditus caudatus;inquilino;Macho ;MA;;2;1;;;2.44;;com;N/A;nao;;nao;;
Beatrice, Luiza;BL5 A1 T2;BL5 T2;BL5;05/02/2020;11:40;Regiao Lagoa;A;Argyrodes elevatus;inquilino;Macho ;MA;;1.3;1;0;0.0015;3.3;;com;N/A;sim;;nao;;
Beatrice, Luiza;BL1 T1 F1;BL1 T1;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;1;3;0.1711;14.57;3.13;sem;N/A;sim;7;sim;;
Beatrice, Luiza;BL1 M2 T4;BL1 T4;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1.3;0;1;0.0313;7.14;2.18;com;0.002;sim;7;nao;;
Beatrice, Luiza;BL1 F2 T2;BL1 T2;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;0;0.1441;15.72;2.85;sem;N/A;sim;7;nao;;
Beatrice, Luiza;BL1 M3 T5;BL1 T5;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1;0;1;0.0079;3.93;1.32;sem;N/A;sim;7;nao;;
Beatrice, Luiza;BL4 M1 C1;BL4;BL4;05/02/2020;11:32;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1;0;1;0.016;7.03;1.35;com;N/A;sim;1;nao;;
Beatrice, Luiza;BL1 F3 T3;BL1 T3;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.3;0;0;0.0254;7.28;1.06;sem;N/A;sim;7;nao;;
Beatrice, Luiza;BL1 F4 T4;BL1 T4;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.3;0;1;0.2131;16.62;3.13;sem;N/A;sim;7;nao;;
Beatrice, Luiza;BL 5 M1 T1;BL5 T1;BL5;05/02/2020;11:40;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1.3;0;1;0.0071;4.86;1.28;com;N/A;sim;2;nao;;
Beatrice, Luiza;BL1 F5 T6;BL1 T6;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;0;0.0804;15.58;2.1;sem;N/A;sim;;nao;;
Beatrice, Luiza;BL1 F6 T6;BL1 T6;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;0;0.1772;16.02;3.08;sem;N/A;sim;;nao;;
Beatrice, Luiza;BL1 F7 T7;BL1 T7;BL1;05/02/2020;11:00;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;0;0.0865;12.88;3.1;sem;N/A;sim;;nao;;
Beatrice, Luiza;BL2 T1 F1 C1;BL2 T1;BL2;05/02/2020;11:20;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.8;1;0;0.1098;12.75;3.01;com;0.0177;nao;;nao;;
Beatrice, Luiza;BL4 T1 F1;BL4 T1;BL4;05/02/2020;11:32;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1;0;1;0.1652;15.05;2.85;com;N/A;nao;;nao;;
Beatrice, Luiza;BL4 M1C1;BL4 T1;BL4;05/02/2020;11:32;Regiao Lagoa;A;Trichonephila clavipes;inquilino;Macho;MA;;1;0;1;0.016;7.03;1.35;com;N/A;nao;;nao;;
Beatrice, Luiza;BL5 T1 F1;BL5 T1;BL5;05/02/2020;11:40;Regiao Lagoa;A;Trichonephila clavipes;femea;Femea;J;;1.3;0;1;0.1712;13.51;4.17;com;N/A;sim;2;nao;;
